year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
2000,1.93,2.45,3.61,5.18,4.55,5.02,6.29,2.30,3.29,2.37,2.24,2.68,41.91
2001,1.14,1.23,4.17,1.38,3.22,4.84,2.57,5.38,4.72,2.09,2.74,1.58,35.06
2002,1.66,1.26,4.60,2.58,6.38,4.27,2.47,1.20,4.64,7.27,3.29,3.36,42.98
2003,1.91,3.10,3.12,2.93,4.30,5.55,5.63,5.40,8.37,4.07,4.40,4.42,53.20
2004,2.57,1.72,2.46,3.40,6.05,3.29,7.99,3.07,10.61,2.74,3.54,4.16,51.60
2005,4.46,2.25,3.88,4.59,1.74,1.80,6.33,6.36,1.78,5.89,6.77,2.27,48.12
2006,5.59,1.55,1.15,2.40,3.43,6.42,3.83,6.33,5.49,5.40,3.84,2.48,47.91
2007,3.05,2.05,3.79,2.93,1.68,1.63,1.58,6.76,1.63,2.85,4.02,4.74,36.71
2008,2.26,5.21,5.10,2.13,3.44,4.07,5.71,1.65,6.80,2.36,2.41,3.98,45.12
2009,2.27,0.84,1.08,3.78,4.29,3.21,5.77,4.38,2.22,5.94,1.85,4.08,39.71
2010,4.56,1.38,2.55,1.91,2.86,3.20,4.48,3.75,6.98,2.89,4.51,4.03,43.10
2011,1.25,4.20,7.27,10.04,6.44,2.20,4.92,5.59,15.97,5.30,3.40,3.68,70.26
2012,2.99,1.77,1.19,1.85,4.04,4.22,3.69,2.91,3.88,3.44,0.65,5.61,36.24
2013,2.64,1.82,1.74,3.15,3.22,4.17,3.12,1.75,1.60,2.99,2.84,3.64,32.68
2014,1.25,2.55,2.89,2.87,5.19,3.46,4.02,6.58,1.10,2.50,2.16,2.60,37.17
2015,1.71,1.08,2.37,4.19,3.07,7.81,3.93,4.13,3.28,3.46,2.17,3.36,40.56
2016,2.06,4.36,1.11,1.59,2.22,4.45,3.11,4.53,3.51,3.39,1.20,2.96,34.49
2017,3.43,1.87,3.74,3.95,6.17,3.70,7.45,5.76,1.24,6.70,1.23,1.19,46.43
2018,3.65,4.14,2.13,3.90,7.69,2.45,11.99,9.29,9.81,2.73,6.05,6.19,70.02
2019,4.07,3.20,2.13,4.06,6.14,6.68,6.54,3.04,1.52,6.67,1.80,2.79,48.64
2020,2.40,2.74,3.13,6.04,3.57,2.95,1.86,2.79,1.59,2.72,2.53,4.94,37.26
2021,2.17,3.07,2.11,2.28,3.53,3.20,6.99,3.92,8.51,5.16,2.38,1.37,44.69
2022,1.68,4.58,3.13,2.93,3.87,M,M,M,M,M,M,M,M